,date,ticker,data.open,data.high,data.low,data.close,data.volume,data.is_extended_hours
790,2021-11-30T09:00:00.000Z,AAPL,159.99,162.27,159.96,162.11,156170,False
791,2021-11-29T15:00:00.000Z,AAPL,160.78,160.84,160.0,160.17,226637,False
792,2021-11-29T14:00:00.000Z,AAPL,161.03,161.1,160.4,160.74,104085,False
793,2021-11-29T13:00:00.000Z,AAPL,160.55,161.18,160.46,161.0,75270,False
794,2021-11-29T12:00:00.000Z,AAPL,160.35,160.87,160.21,160.53,170084,False
795,2021-11-29T11:00:00.000Z,AAPL,159.2,160.42,158.96,160.37,154966,False
796,2021-11-29T10:00:00.000Z,AAPL,160.22,160.5,158.83,159.2,189866,False
797,2021-11-29T09:00:00.000Z,AAPL,159.38,160.57,159.09,160.17,172427,False
798,2021-11-26T12:00:00.000Z,AAPL,158.09,158.22,156.37,157.07,606885,False
799,2021-11-26T11:00:00.000Z,AAPL,157.58,158.17,156.91,158.12,206173,False
800,2021-11-26T10:00:00.000Z,AAPL,158.77,158.95,157.45,157.65,259388,False
801,2021-11-26T09:00:00.000Z,AAPL,159.5,160.42,158.38,158.84,139272,False
802,2021-11-24T15:00:00.000Z,AAPL,161.01,162.13,160.8,162.0,148150,False
803,2021-11-24T14:00:00.000Z,AAPL,160.98,161.29,160.5,161.0,77879,False
804,2021-11-24T13:00:00.000Z,AAPL,161.52,161.73,160.92,160.99,53308,False
805,2021-11-24T12:00:00.000Z,AAPL,161.33,161.62,160.92,161.52,69654,False
806,2021-11-24T11:00:00.000Z,AAPL,161.08,161.97,160.71,161.27,107029,False
807,2021-11-24T10:00:00.000Z,AAPL,159.91,161.1,159.65,161.1,228038,False
808,2021-11-24T09:00:00.000Z,AAPL,160.7,161.4,159.73,160.01,111649,False
809,2021-11-23T15:00:00.000Z,AAPL,160.89,161.68,160.56,161.5,191272,False
810,2021-11-23T14:00:00.000Z,AAPL,159.98,160.89,159.82,160.89,129298,False
811,2021-11-23T13:00:00.000Z,AAPL,159.68,160.1,159.08,160.05,87284,False
812,2021-11-23T12:00:00.000Z,AAPL,159.8,160.61,159.46,159.79,109181,False
813,2021-11-23T11:00:00.000Z,AAPL,159.91,160.46,159.24,159.8,163688,False
814,2021-11-23T10:00:00.000Z,AAPL,160.74,160.85,159.08,159.92,252632,False
815,2021-11-23T09:00:00.000Z,AAPL,161.11,161.8,159.65,160.74,147527,False
816,2021-11-22T16:00:00.000Z,AAPL,161.18,161.18,161.13,161.18,800,False
817,2021-11-22T15:00:00.000Z,AAPL,163.8,163.99,161.0,161.08,340518,False
818,2021-11-22T14:00:00.000Z,AAPL,163.69,164.28,163.62,163.79,212957,False
819,2021-11-22T13:00:00.000Z,AAPL,163.94,163.96,163.34,163.68,116466,False
820,2021-11-22T12:00:00.000Z,AAPL,163.51,164.37,163.05,163.96,360112,False
821,2021-11-22T11:00:00.000Z,AAPL,164.69,165.22,163.09,163.54,496783,False
822,2021-11-22T10:00:00.000Z,AAPL,164.7,165.7,164.54,164.77,541149,False
823,2021-11-22T09:00:00.000Z,AAPL,161.68,164.77,161.66,164.69,320525,False
824,2021-11-19T16:00:00.000Z,AAPL,160.57,160.57,160.57,160.57,200,False
825,2021-11-19T15:00:00.000Z,AAPL,160.51,161.02,160.1,160.56,649108,False
